time,price
1682936700000,1846.04000000
1682937000000,1847.34000000
1682937300000,1846.78000000
1682937600000,1844.85000000
1682937900000,1845.99000000
1682938200000,1845.49000000
1682938500000,1846.20000000
1682938800000,1845.91000000
1682939100000,1845.80000000
1682939400000,1846.00000000
1682939700000,1843.40000000
1682940000000,1841.57000000
1682940300000,1844.38000000
1682940600000,1847.79000000
1682940900000,1845.31000000
1682941200000,1846.52000000
1682941500000,1846.80000000
1682941800000,1845.05000000
1682942100000,1847.31000000
1682942400000,1845.36000000
1682942700000,1842.92000000
1682943000000,1843.35000000
1682943300000,1846.13000000
1682943600000,1844.92000000
1682943900000,1846.40000000
1682944200000,1848.72000000
1682944500000,1848.09000000
1682944800000,1850.45000000
1682945100000,1849.19000000
1682945400000,1848.68000000
1682945700000,1849.98000000
1682946000000,1849.86000000
1682946300000,1847.73000000
1682946600000,1847.33000000
1682946900000,1847.75000000
1682947200000,1848.02000000
1682947500000,1848.95000000
1682947800000,1849.83000000
1682948100000,1847.61000000
1682948400000,1847.77000000
1682948700000,1845.18000000
1682949000000,1845.35000000
1682949300000,1844.56000000
1682949600000,1841.38000000
1682949900000,1841.01000000
1682950200000,1844.98000000
1682950500000,1843.04000000
1682950800000,1844.96000000
1682951100000,1839.40000000
1682951400000,1842.49000000
1682951700000,1840.45000000
1682952000000,1838.66000000
1682952300000,1840.11000000
1682952600000,1843.38000000
1682952900000,1842.58000000
1682953200000,1843.29000000
1682953500000,1840.37000000
1682953800000,1839.18000000
1682954100000,1838.57000000
1682954400000,1837.13000000
1682954700000,1829.37000000
1682955000000,1829.02000000
1682955300000,1831.11000000
1682955600000,1832.41000000
1682955900000,1833.46000000
1682956200000,1834.98000000
1682956500000,1834.84000000
1682956800000,1833.65000000
1682957100000,1835.54000000
1682957400000,1832.38000000
1682957700000,1828.41000000
1682958000000,1831.70000000
1682958300000,1826.51000000
1682958600000,1828.01000000
1682958900000,1832.38000000
1682959200000,1832.12000000
1682959500000,1832.26000000
1682959800000,1832.43000000
1682960100000,1835.61000000
1682960400000,1839.84000000
1682960700000,1840.59000000
1682961000000,1839.23000000
1682961300000,1839.42000000
1682961600000,1838.81000000
1682961900000,1838.66000000
1682962200000,1833.46000000
1682962500000,1834.73000000
1682962800000,1837.21000000
1682963100000,1837.22000000
1682963400000,1839.01000000
1682963700000,1839.40000000
1682964000000,1839.65000000
1682964300000,1838.70000000
1682964600000,1838.12000000
1682964900000,1837.21000000
1682965200000,1834.78000000
1682965500000,1835.22000000
1682965800000,1835.88000000
1682966100000,1831.60000000
1682966400000,1833.20000000
1682966700000,1831.77000000
1682967000000,1832.98000000
1682967300000,1833.29000000
1682967600000,1832.42000000
1682967900000,1829.07000000
1682968200000,1831.23000000
1682968500000,1823.90000000
1682968800000,1809.62000000
1682969100000,1818.55000000
1682969400000,1823.08000000
1682969700000,1820.61000000
1682970000000,1813.21000000
1682970300000,1816.12000000
1682970600000,1815.79000000
1682970900000,1812.09000000
1682971200000,1812.97000000
1682971500000,1818.22000000
1682971800000,1819.39000000
1682972100000,1818.32000000
1682972400000,1814.68000000
1682972700000,1815.24000000
1682973000000,1815.70000000
1682973300000,1819.30000000
1682973600000,1818.92000000
1682973900000,1819.50000000
1682974200000,1814.84000000
1682974500000,1814.31000000
1682974800000,1807.59000000
1682975100000,1817.77000000
1682975400000,1815.51000000
1682975700000,1816.33000000
1682976000000,1819.46000000
1682976300000,1820.78000000
1682976600000,1820.67000000
1682976900000,1827.84000000
1682977200000,1824.66000000
1682977500000,1825.07000000
1682977800000,1824.59000000
1682978100000,1824.71000000
1682978400000,1824.37000000
1682978700000,1823.05000000
1682979000000,1822.37000000
1682979300000,1824.09000000
1682979600000,1825.40000000
1682979900000,1825.11000000
1682980200000,1824.17000000
1682980500000,1822.01000000
1682980800000,1826.48000000
1682981100000,1829.24000000
1682981400000,1825.48000000
1682981700000,1825.88000000
1682982000000,1825.98000000
1682982300000,1830.60000000
1682982600000,1829.79000000
1682982900000,1830.80000000
